Player,Rating 2.0,KPR,HS,Maps Played,DPR,Rounds Contributed
dav1g,"Rating 2.0
                          1.13","Kills per round
                          0.71","Headshots
                          45.8%","Maps played
                          6","Deaths per round
                          0.70","Rounds contributed
                          74.3%"
mopoz,"Rating 2.0
                          0.97","Kills per round
                          0.60","Headshots
                          51.5%","Maps played
                          47","Deaths per round
                          0.70","Rounds contributed
                          68.7%"
Peppzor,"Rating 2.0
                          1.03","Kills per round
                          0.69","Headshots
                          51.8%","Maps played
                          60","Deaths per round
                          0.71","Rounds contributed
                          66.0%"
F1KU,"Rating 2.0
                          1.01","Kills per round
                          0.64","Headshots
                          55.6%","Maps played
                          62","Deaths per round
                          0.67","Rounds contributed
                          69.4%"
Furlan,"Rating 2.0
                          0.86","Kills per round
                          0.57","Headshots
                          49.6%","Maps played
                          37","Deaths per round
                          0.73","Rounds contributed
                          64.5%"
leman,,,,,,
ultimate,"Rating 2.0
                          0.68","Kills per round
                          0.52","Headshots
                          24.1%","Maps played
                          2","Deaths per round
                          0.75","Rounds contributed
                          58.9%"
mwlky,"Rating 2.0
                          1.04","Kills per round
                          0.67","Headshots
                          30.8%","Maps played
                          26","Deaths per round
                          0.61","Rounds contributed
                          69.5%"
headtr1ck,"Rating 2.0
                          1.08","Kills per round
                          0.68","Headshots
                          30.0%","Maps played
                          37","Deaths per round
                          0.57","Rounds contributed
                          70.5%"
PwnAlone,"Rating 2.0
                          1.10","Kills per round
                          0.69","Headshots
                          26.1%","Maps played
                          38","Deaths per round
                          0.63","Rounds contributed
                          70.7%"
ben1337,"Rating 2.0
                          0.93","Kills per round
                          0.60","Headshots
                          45.0%","Maps played
                          38","Deaths per round
                          0.69","Rounds contributed
                          68.6%"
djay,"Rating 2.0
                          1.03","Kills per round
                          0.75","Headshots
                          52.8%","Maps played
                          3","Deaths per round
                          0.75","Rounds contributed
                          62.0%"
ptr,,,,,,
Krimbo,"Rating 2.0
                          1.13","Kills per round
                          0.70","Headshots
                          49.5%","Maps played
                          64","Deaths per round
                          0.59","Rounds contributed
                          74.2%"
HEN1,"Rating 2.0
                          1.05","Kills per round
                          0.67","Headshots
                          28.8%","Maps played
                          20","Deaths per round
                          0.58","Rounds contributed
                          73.9%"
slaxz-,"Rating 2.0
                          1.27","Kills per round
                          0.80","Headshots
                          29.3%","Maps played
                          111","Deaths per round
                          0.57","Rounds contributed
                          76.6%"
Marix,"Rating 2.0
                          1.07","Kills per round
                          0.73","Headshots
                          55.3%","Maps played
                          51","Deaths per round
                          0.68","Rounds contributed
                          70.0%"
Staehr,"Rating 2.0
                          0.97","Kills per round
                          0.60","Headshots
                          46.4%","Maps played
                          41","Deaths per round
                          0.65","Rounds contributed
                          70.0%"
raalz,"Rating 2.0
                          0.96","Kills per round
                          0.59","Headshots
                          58.6%","Maps played
                          95","Deaths per round
                          0.65","Rounds contributed
                          70.8%"
Spiidi,"Rating 2.0
                          1.01","Kills per round
                          0.61","Headshots
                          39.6%","Maps played
                          108","Deaths per round
                          0.63","Rounds contributed
                          72.6%"
